爱,性,6.77,
虎,猫,7.35,
虎,虎,10,
书,纸,7.46,
电脑,键盘,7.62,
电脑,因特网,7.58,
飞机,汽车,5.77,
火车,汽车,6.31,
电话,交流,7.5,
电视,收音机,6.77,
媒体,收音机,7.42,
毒品,滥用,6.85,
面包,黄油,6.19,
黄瓜,土豆,5.92,
医生,护士,7,
教授,医生,6.62,
学生,教授,6.81,
聪明,学生,4.62,
聪明,蠢,5.81,
公司,股票,7.08,
股票,市场,8.08,
股票,手机,1.62,
股票,光盘,1.31,
股票,老虎,0.92,
股票,卵,1.81,
生育,卵,6.69,
股票,活,3.73,
股票,生活,0.92,
书,图书馆,7.46,
银行,钱,8.12,
木,森林,7.73,
钱,现金,9.15,
教授,黄瓜,0.31,
国王,卷心菜,0.23,
国王,王后,8.58,
国王,骗子,5.92,
主教,法师,6.69,
耶路撒冷,以色列,8.46,
耶路撒冷,巴勒斯坦,7.65,
神圣,性,1.62,
性交,性,9.44,
马拉多纳,足球,8.62,1
足球,足球,9.03,
足球,篮球,6.81,
足球,网球,6.63,
网球,球拍,7.56,
阿拉法特,和平,6.73,
阿拉法特,恐怖,7.65,
阿拉法特,杰克逊,2.5,1
法律,律师,8.38,
电影,星,7.38,
电影,爆米花,6.19,
电影,批评家,6.73,
电影,电影院,7.92,
物理,质子,8.12,
物理,化学,7.35,
空间,化学,4.88,
酒精,化学,5.54,
伏特加,杜松子酒,8.46,1
伏特加,白兰地,8.13,
喝,汽车,3.04,
喝,耳朵,1.31,
喝,嘴,5.96,
喝,吃,6.87,
婴儿,母亲,7.85,
喝,母亲,2.65,
汽车,汽车,8.94,
宝石,珠宝,8.96,
旅行,航行,9.29,
男孩,小伙子,8.83,
海岸,海滨,9.1,
精神病院,精神病院,8.87,
魔术师,魔术师,9.02,
正午,中午,9.29,
熔炉,火炉,8.79,
食物,水果,7.52,
鸟,公鸡,7.1,
鸟,鹤,7.38,
工具,器具,6.46,
修士,僧侣,6.27,
鹤,器具,2.69,
小伙子,修士,4.46,
旅行,汽车,5.85,
僧侣,圣人,5,
墓地,林地,2.08,
食物,公鸡,4.42,
海岸,丘陵,4.38,
森林,墓地,1.85,
海滨,林地,3.08,
僧侣,奴隶,0.92,
海岸,森林,3.15,
小伙子,魔术师,0.92,
琴弦,微笑,0.54,
玻璃,魔术师,2.08,
中午,弦,0.54,
公鸡,航行,0.62,
钱,美元,8.42,
钱,现金,9.08,
钱,货币,9.04,
钱,财富,8.27,
钱,财产,7.57,
钱,拥有,7.29,
钱,银行,8.5,
钱,存款,7.73,
钱,取款,6.88,1
钱,洗钱,5.65,1
钱,经营,3.31,
虎,老虎,8,
虎,猫,8,
虎,食肉动物,7.08,
虎,哺乳动物,6.85,
虎,动物,7,
虎,生物,4.77,
虎,动物,5.62,
虎,动物园,5.87,
心理学,精神病,8.08,
心理学,焦虑,7,
心理学,害怕,6.85,
心理学,沮丧,7.42,
心理学,诊所,6.58,
心理学,医生,6.42,
心理学,弗洛伊德,8.21,1
心理学,精神,7.69,
心理学,健康,7.23,
心理学,科学,6.71,
