爱,性,6.77,0.153771,
虎,猫,7.35,0.148162,
虎,虎,10,1,
书,纸,7.46,0.150811,
电脑,键盘,7.62,0.350404,
电脑,因特网,7.58,0.32,
飞机,汽车,5.77,0.461627,
火车,汽车,6.31,0.643891,
电话,交流,7.5,0.144886,
电视,收音机,6.77,0.68613,
媒体,收音机,7.42,0.141067,
毒品,滥用,6.85,0.162365,
面包,黄油,6.19,0.501689,
黄瓜,土豆,5.92,0.602915,
医生,护士,7,0.792024,
教授,医生,6.62,0.156079,
学生,教授,6.81,0.154618,
聪明,学生,4.62,0.160784,
聪明,蠢,5.81,0.830109,
公司,股票,7.08,0.372706,
股票,市场,8.08,0.339038,
股票,手机,1.62,0.1518,
股票,光盘,1.31,0.155795,
股票,老虎,0.92,0.149491,
股票,卵,1.81,0.147804,
生育,卵,6.69,0.14578,
股票,活,3.73,0.153214,
股票,生活,0.92,0.153214,
书,图书馆,7.46,0.156894,
银行,钱,8.12,0.339712,
木,森林,7.73,0.153214,
钱,现金,9.15,0.341465,
教授,黄瓜,0.31,0.151366,
国王,卷心菜,0.23,0.160015,
国王,王后,8.58,0.820155,
国王,骗子,5.92,0.420405,
主教,法师,6.69,0.693772,
耶路撒冷,以色列,8.46,0.581759,
耶路撒冷,巴勒斯坦,7.65,0.581759,
神圣,性,1.62,0.155141,
性交,性,9.44,0.152309,
足球,足球,9.03,1,
足球,篮球,6.81,1,
足球,网球,6.63,1,
网球,球拍,7.56,0.853101,
阿拉法特,和平,6.73,0.157115,
阿拉法特,恐怖,7.65,0.180619,
法律,律师,8.38,0.148959,
电影,星,7.38,0.150403,
电影,爆米花,6.19,0.144319,
电影,批评家,6.73,0.181754,
电影,电影院,7.92,0.334792,
物理,质子,8.12,0.143613,
物理,化学,7.35,0.142786,
空间,化学,4.88,0.145178,
酒精,化学,5.54,0.461428,
伏特加,白兰地,8.13,1,
喝,汽车,3.04,0.157449,
喝,耳朵,1.31,0.145921,
喝,嘴,5.96,0.149775,
喝,吃,6.87,0.149057,
婴儿,母亲,7.85,0.407694,
喝,母亲,2.65,0.152435,
汽车,汽车,8.94,1,
宝石,珠宝,8.96,0.344951,
旅行,航行,9.29,0.530483,
男孩,小伙子,8.83,0.153849,
海岸,海滨,9.1,0.842014,
精神病院,精神病院,8.87,1,
魔术师,魔术师,9.02,1,
正午,中午,9.29,1,
熔炉,火炉,8.79,0.367609,
食物,水果,7.52,0.330926,
鸟,公鸡,7.1,0.462619,
鸟,鹤,7.38,0.459794,
工具,器具,6.46,0.34011,
修士,僧侣,6.27,0.7076,
鹤,器具,2.69,0.334129,
小伙子,修士,4.46,0.398537,
旅行,汽车,5.85,0.154314,
僧侣,圣人,5,0.4147,
墓地,林地,2.08,0.410979,
食物,公鸡,4.42,0.328935,
海岸,丘陵,4.38,0.520495,
森林,墓地,1.85,0.1518,
海滨,林地,3.08,0.141032,
僧侣,奴隶,0.92,0.391357,
海岸,森林,3.15,0.346467,
小伙子,魔术师,0.92,0.389992,
琴弦,微笑,0.54,0.14664,
玻璃,魔术师,2.08,0.141067,
中午,弦,0.54,0.146802,
公鸡,航行,0.62,0.141067,
钱,美元,8.42,0.396366,
钱,现金,9.08,0.341465,
钱,货币,9.04,0.344798,
钱,财富,8.27,0.336008,
钱,财产,7.57,0.336008,
钱,拥有,7.29,0.163753,
钱,银行,8.5,0.339712,
钱,存款,7.73,0.150471,
钱,经营,3.31,0.148959,
虎,老虎,8,0.150743,
虎,猫,8,0.148162,
虎,食肉动物,7.08,0.32,
虎,哺乳动物,6.85,0.160425,
虎,动物,7,0.149916,
虎,生物,4.77,0.153052,
虎,动物,5.62,0.149916,
虎,动物园,5.87,0.162418,
心理学,精神病,8.08,0.425627,
心理学,焦虑,7,0.192042,
心理学,害怕,6.85,0.210996,
心理学,沮丧,7.42,0.203909,
